,1st Pub,Author,Awards,Genres,Link,N pag,Rating Count,Rating Value,Review Count,Title,series
52,1982,Alice Walker,"['Pulitzer Prize for Fiction (1983)', 'National Book Award for Fiction (Hardcover) (1983)', 'National Book Critics Circle Award Nominee for Fiction (1982)', 'Townsend Prize for Fiction (1984)']","['Classics', 'Fiction', 'Historical']",https://www.goodreads.com/book/show/52892857-the-color-purple,304,546850,4.23,16590,The Color Purple,1
53,1967,Gabriel García Márquez,"['Premio Internacional de Novela Rómulo Gallegos (1972)', 'Prix du Meilleur Livre Étranger for Roman (1969)']","['Fiction', 'Classics', 'Magical Realism']",https://www.goodreads.com/book/show/18114322-the-grapes-of-wrath,417,787595,4.09,32620,One Hundred Years of Solitude,0
54,1939,John Steinbeck,"['Pulitzer Prize for Novel (1940)', 'National Book Award for Fiction (1939)', 'California Book Award for General Literature (Silver) (1939)', 'Audie Award for Classic (1999)']","['Classics', 'Fiction', 'Historical']",https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude,479,777187,3.98,18075,The Grapes of Wrath,0
55,2007,Khaled Hosseini,"['British Book Award for Best Read of the Year (2008)', 'Book Sense Book of the Year Award for Adult Fiction (2008)', 'California Book Award for Fiction (Silver) (2007)', 'Exclusive Books Boeke Prize Nominee (2007)', 'Lincoln Award Nominee (2011)']","['Fiction', 'Historical', 'Historical Fiction']",https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,372,1208003,4.38,56645,A Thousand Splendid Suns,0
56,1974,Shel Silverstein,"[""George C. Stone Center for Children's Books Recognition of Merit Award (1984)"", ""Dorothy Canfield Fisher Children's Book Award Nominee (1976)"", 'Golden Archer Award for Intermediate (1996)']","['Poetry', 'Childrens', 'Classics']",https://www.goodreads.com/book/show/30119.Where_the_Sidewalk_Ends,176,1217930,4.30,11078,Where the Sidewalk Ends,0
57,1963,Maurice Sendak,"['Caldecott Medal (1964)', 'Lewis Carroll Shelf Award', 'Indies Choice Book Award for Picture Book Hall of Fame (2009)']","['Childrens', 'Childrens', 'Picture Books']",https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables,37,856492,4.21,12202,Where the Wild Things Are,0
58,1908,L.M. Montgomery,[],"['Classics', 'Fiction', 'Young Adult']",https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are,320,772981,4.26,25033,Anne of Green Gables,1
59,1985,Orson Scott Card,"['Hugo Award for Best Novel (1986)', 'Nebula Award for Best Novel (1985)', 'Premi Ictineu for Millor novel·la traduïda (2014)', 'Nébula (1985)', 'Margaret A. Edwards Award (2008)']","['Science Fiction', 'Fiction', 'Young Adult']",https://www.goodreads.com/book/show/375802.Ender_s_Game,324,1178038,4.30,44090,Ender's Game,1
60,1876,Mark Twain,['Lewis Carroll Shelf Award (1967)'],"['Classics', 'Fiction', 'Adventure']",https://www.goodreads.com/book/show/24583.The_Adventures_of_Tom_Sawyer,244,789400,3.92,10527,The Adventures of Tom Sawyer,1
61,1859,Charles Dickens,[],"['Classics', 'Fiction', 'Historical']",https://www.goodreads.com/book/show/7126.The_Count_of_Monte_Cristo,489,832933,3.85,18376,A Tale of Two Cities,0
62,1844,Alexandre Dumas,[],"['Classics', 'Fiction', 'Historical']",https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities,1138,771701,4.26,22574,The Count of Monte Cristo,0
