,url,title,author,num_reviews,num_ratings,avg_ratings,original_publish_year,series,genres,awards,num_pages,award_number,mean_norm_ratings,min_max
571,https://www.goodreads.com/book/show/23919.The_Complete_Stories_and_Poems,A Room with a View,E.M. Forster,5997,156069,3.91,1908,False,"['Classics', 'Fiction', 'Romance']",[],119,1,-0.11,4.76
572,https://www.goodreads.com/book/show/31463.Far_From_the_Madding_Crowd,Far From the Madding Crowd,Thomas Hardy,6276,133936,3.94,1874,False,"['Classics', 'Fiction', 'Romance']",[],433,1,-0.09,4.94
573,https://www.goodreads.com/book/show/3087.A_Room_with_a_View,Death Be Not Proud,John Gunther,635,11294,3.83,1949,False,"['Nonfiction', 'Classics', 'Autobiography']",[],206,1,-0.16,4.29
574,https://www.goodreads.com/book/show/8682.Jitterbug_Perfume,Jitterbug Perfume,Tom Robbins,3698,71685,4.21,1984,False,"['Fiction', 'Fantasy', 'Humor']",[],342,1,0.09,6.53
575,https://www.goodreads.com/book/show/486298.Death_Be_Not_Proud,The Historian,Elizabeth Kostova,16493,250735,3.78,0,False,"['Fiction', 'Historical', 'Historical Fiction']","['International Horror Guild Award Nominee for Best Novel (2005)', 'Hopwood Award for Novel in-progress (2003)', 'Book Sense Book of the Year Award for Best Adult Fiction (2006)', 'The Quill Award for Debut Author of the Year (2005)', 'Lord Ruthven Award for Fiction (2006)']",704,5,-0.19,4.0
576,https://www.goodreads.com/book/show/30236962-the-historian,Me Before You,Jojo Moyes,84517,1229650,4.26,0,True,"['Romance', 'Fiction', 'Contemporary']",['Goodreads Choice Award Nominee for Fiction (2013)'],369,1,0.12,6.82
577,https://www.goodreads.com/book/show/15507958-me-before-you,"Dodging Satan: My Irish/Italian, Sometimes Awesome, But Mostly Creepy, Childhood",Kathleen Zamboni McCormick,55,6366,4.3,0,False,"['Contemporary', 'Drama', 'Fiction']","['International Rubery Book Award Nominee (2020)', 'Independent Press Award for Humor & Wit (2020)']",191,2,0.15,7.06
578,https://www.goodreads.com/book/show/28009303-dodging-satan,Pet Sematary,Stephen King,15331,448533,4.01,1983,False,"['Horror', 'Fiction', 'Thriller']","['Locus Award Nominee for Best Fantasy Novel (1984)', 'World Fantasy Award Nominee for Best Novel (1984)']",580,2,-0.04,5.35
579,https://www.goodreads.com/book/show/33124137-pet-sematary,Vanity Fair,William Makepeace Thackeray,3615,121165,3.79,1848,False,"['Classics', 'Fiction', 'Historical']",[],867,1,-0.19,4.06
580,https://www.goodreads.com/book/show/5797.Vanity_Fair,The Second Sex,Simone de Beauvoir,1540,32973,4.13,1949,True,"['Feminism', 'Nonfiction', 'Philosophy']",[],746,1,0.04,6.06
581,https://www.goodreads.com/book/show/457264.The_Second_Sex,Eldest,Christopher Paolini,9883,376206,3.99,2005,True,"['Fantasy', 'Young Adult', 'Fiction']","[""West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2006)"", 'Colorado Blue Spruce Young Adult Book Award (2007)', 'Teen Buckeye Book Award (2007)', 'Soaring Eagle Book Award (2006)']",704,4,-0.06,5.24
582,https://www.goodreads.com/book/show/11422.Redeeming_Love,Redeeming Love,Francine Rivers,12336,224106,4.5,1991,False,"['Christian Fiction', 'Christian', 'Fiction']",[],479,1,0.28,8.24
583,https://www.goodreads.com/book/show/45978.Eldest,Crossroads and the Himalayan Crystals,C. Toni Graham,45,5624,4.32,2012,True,"['Contemporary', 'Drama', 'Epic']",[],266,1,0.16,7.18
584,https://www.goodreads.com/book/show/16220184-crossroads-and-the-himalayan-crystals,The Girl on the Train,Paula Hawkins,112284,2257524,3.93,2015,False,"['Fiction', 'Mystery', 'Thriller']","['ITW Thriller Award Nominee for Best Hardcover Novel (2016)', 'Audie Award for Audiobook of the Year (2016)', 'Australian Book Industry Award (ABIA) Nominee for International Book (2016)', 'Goodreads Choice Award for Mystery & Thriller (2015)', 'Waterstones Book of the Year Nominee (2015)', ""Woman & Home Reader's Choice Award for Best Thriller Of The Year (2016)""]",325,6,-0.1,4.88
585,https://www.goodreads.com/book/show/22557272-the-girl-on-the-train,Starship Troopers,Robert A. Heinlein,5894,200078,4.0,1959,False,"['Science Fiction', 'Fiction', 'Classics']",['Hugo Award for Best Novel (1960)'],208,1,-0.05,5.29
586,https://www.goodreads.com/book/show/17214.Starship_Troopers,Foundation,Isaac Asimov,10513,429501,4.17,1951,True,"['Science Fiction', 'Fiction', 'Classics']",[],244,1,0.06,6.29
587,https://www.goodreads.com/book/show/29579.Foundation,The Octunnumi Fosbit Files Prologue,Trevor Alan Foris,171,9410,4.21,0,False,"['Fantasy', 'Fiction', 'Novels']",[],520,1,0.09,6.53
588,https://www.goodreads.com/book/show/345627.Vampire_Academy,Vampire Academy,Richelle Mead,22661,573997,4.11,0,True,"['Young Adult', 'Fantasy', 'Paranormal']",[],332,1,0.02,5.94
589,https://www.goodreads.com/book/show/40034669-the-octunnumi-fosbit-files-prologue,Lies My Teacher Told Me: Everything Your American History Textbook Got Wrong,James W. Loewen,3074,60606,3.94,1995,False,"['History', 'Nonfiction', 'Education']","['American Book Award (1996)', 'The Oliver C. Cox Anti-Racism Award']",383,2,-0.09,4.94
