"title","avg_ratings","author","num_ratings","Field2_Link","num_reviews","Field3_Link","num_pages","original_publish_year","place","Field7","Field8"
"To Kill a Mockingbird","4.28","Harper Lee","4,748,032  ratings","https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird#other_reviews","95,093    reviews","https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird#other_reviews","324 pages","(first published July 11th 1960)","Literary Awards                                  Pulitzer Prize for Fiction (1961), Audie Award for Classic (2007), National Book Award Finalist for Fiction (1961), Alabama Author Award for Fiction (1961)","Scout Finch, Atticus Finch, Jem Finch, Arthur Radley, Mayella Ewell...more, Aunt Alexandra, Bob Ewell, Calpurnia (housekeeper), Tom Robinson, Miss Maudie Atkinson, Judge John Taylor, Dill Harris, Heck Tate, Stephanie Crawford...less","Classics                        47,203 users                                    Fiction                        23,467 users                                      Historical >        Historical Fiction                        7,083 users                                      Academic >        School                        3,998 users                                    Literature                        3,053 users                                    Young Adult                        2,924 users                                    Historical                        1,853 users                                    Novels                        1,845 users                                      Academic >        Read For School                        1,798 users                                      Young Adult >        High School                        1,319 users                    See top shelves…"
"Harry Potter and the Sorcerer's Stone","4.48","J.K. Rowling","7,504,391  ratings","https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone#other_reviews","118,950    reviews","https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone#other_reviews","Library Edition","(first published June 26th 1997)","London, England,1991(United Kingdom)        Hogwarts School of Witchcraft and Wizardry,1991(United Kingdom)        Hogwarts School of Witchcraft and Wizardry,1992(United Kingdom)","Harry Potter #1","Fantasy                        64,288 users                                    Fiction                        19,352 users                                    Young Adult                        18,870 users                                      Fantasy >        Magic                        5,199 users                                    Childrens                        4,893 users                                      Childrens >        Middle Grade                        3,566 users                                    Adventure                        3,133 users                                    Classics                        2,919 users                                    Audiobook                        2,609 users                                    Science Fiction Fantasy                        1,812 users                    See top shelves…"
"Pride and Prejudice","4.27","Jane Austen","3,185,638  ratings","https://www.goodreads.com/book/show/1885.Pride_and_Prejudice#other_reviews","73,299    reviews","https://www.goodreads.com/book/show/1885.Pride_and_Prejudice#other_reviews","Modern Library Classics, USA / CAN","(first published January 28th 1813)","Other Editions (11229)",,"Classics                        51,875 users                                    Fiction                        15,656 users                                    Romance                        12,685 users                                      Historical >        Historical Fiction                        4,022 users                                    Literature                        2,658 users                                    Historical                        2,340 users                                    Novels                        1,465 users                                      Romance >        Historical Romance                        1,346 users                                    Adult                        1,273 users                                      Classics >        Classic Literature                        1,228 users                    See top shelves…"
"The Diary of a Young Girl","4.16","Anne Frank","2,913,014  ratings","https://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl#other_reviews","30,806    reviews","https://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl#other_reviews","US / CAN Edition","(first published June 1947)","Literary Awards                                  Luisterboek Award Nominee (2008)","Anne Frank, Otto Frank, Petronella van Daan, Hermann van Daan, Margot Frank...more, Peter van Daan, Edith Frank, Miep Gies, Albert Dussel...less","Nonfiction                        15,231 users                                    Classics                        15,172 users                                    History                        6,403 users                                    Biography                        5,950 users                                      Autobiography >        Memoir                        3,855 users                                    Historical                        2,272 users                                      World War II >        Holocaust                        1,748 users                                      Biography >        Autobiography                        1,606 users                                    War                        1,477 users                                      War >        World War II                        1,163 users                    See top shelves…"
"Animal Farm","3.96","George Orwell","2,909,156  ratings","https://www.goodreads.com/book/show/170448.Animal_Farm#other_reviews","60,978    reviews","https://www.goodreads.com/book/show/170448.Animal_Farm#other_reviews","141 pages","(first published August 17th 1945)","Literary Awards                                  Prometheus Hall of Fame Award (2011), Retro Hugo Award for Best Novella (1996)","Snowball, Napoleon, Clover, Boxer, Old Major...more, Muriel, Jones, Squealer, Moses the Raven, Benjamin...less","Classics                        33,863 users                                    Fiction                        19,451 users                                      Science Fiction >        Dystopia                        3,888 users                                    Fantasy                        3,197 users                                    Literature                        2,783 users                                    Politics                        2,645 users                                      Academic >        School                        2,439 users                                    Science Fiction                        2,007 users                                    Novels                        1,752 users                                      Academic >        Read For School                        1,036 users                    See top shelves…"
